NAMESPACE,NAME,PF,READY,RESTARTS,STATUS,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,QOS,LABELS,VALID,NOMINATED NODE,READINESS GATES,AGE
chirpstack,chirpstack-application-server-b745bd477-d8jbd,●,1/1,0,Running,1,30,500:500,1024:1024,0,0,2,2,10.42.0.154,pfwilsendh470c,GA,app.kubernetes.io/instance=chirpstack app.kubernetes.io/name=chirpstack-application-server pod-template-hash=b745bd477,,<none>,<none>,5h11m
databases,database-backup-mf9w-9g47n,●,0/1,0,Completed,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.77,pfwilsendh470c,BE,controller-uid=81795509-1038-4615-a132-c51daa281edd job-name=database-backup-mf9w postgres-operator.crunchydata.com/cluster=database postgres-operator.crunchydata.com/pgbackrest= postgres-operator.crunchydata.com/pgbackrest-backup=replica-create postgres-operator.crunchydata.com/pgbackrest-repo=repo1,,<none>,<none>,3d16h
kube-system,metallb-controller-7dd9b5cf54-rjgms,●,1/1,5,Running,1,24,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.90,pfwilsendh470c,BE,app.kubernetes.io/component=controller app.kubernetes.io/instance=metallb app.kubernetes.io/name=metallb pod-template-hash=7dd9b5cf54,,<none>,<none>,3d20h
flux-system,kustomize-controller-858b86bfc7-v9rmq,●,1/1,0,Running,59,68,100:1000,64:1024,59,5,107,6,10.42.0.162,pfwilsendh470c,BU,app=kustomize-controller pod-template-hash=858b86bfc7,,<none>,<none>,4h32m
chirpstack,redis-master-0,●,2/2,0,Running,6,11,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.104,pfwilsendh470c,BE,app.kubernetes.io/component=master app.kubernetes.io/instance=redis app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=redis controller-revision-hash=redis-master-7fb58585b5 helm.sh/chart=redis-17.0.1 statefulset.kubernetes.io/pod-name=redis-master-0,,<none>,<none>,7h35m
monitoring,kube-prometheus-stack-prometheus-node-exporter-jxcv4,●,1/1,7,Running,12,20,0:0,0:0,n/a,n/a,n/a,n/a,192.168.188.22,pfwilsendh470c,BE,app=prometheus-node-exporter chart=prometheus-node-exporter-3.1.1 controller-revision-hash=d6ff66dcb heritage=Helm jobLabel=node-exporter pod-template-generation=1 release=kube-prometheus-stack,,<none>,<none>,3d16h
databases,database-postgres-cluster-mrpw-0,●,4/4,20,Running,5,109,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.73,pfwilsendh470c,BE,controller-revision-hash=database-postgres-cluster-mrpw-7647f9f6cb postgres-operator.crunchydata.com/cluster=database postgres-operator.crunchydata.com/data=postgres postgres-operator.crunchydata.com/instance=database-postgres-cluster-mrpw postgres-operator.crunchydata.com/instance-set=postgres-cluster postgres-operator.crunchydata.com/patroni=database-ha postgres-operator.crunchydata.com/role=master statefulset.kubernetes.io/pod-name=database-postgres-cluster-mrpw-0,,<none>,<none>,3d16h
traefik,traefik-dc46d567d-nb9mh,●,1/1,5,Running,1,64,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.70,pfwilsendh470c,BE,app=traefik app.kubernetes.io/instance=traefik app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=traefik helm.sh/chart=traefik-10.20.1 pod-template-hash=dc46d567d,,<none>,<none>,3d20h
monitoring,prometheus-operator-7ffd69dd7b-qt4p6,●,1/1,5,Running,1,49,0:0,0:0,n/a,n/a,n/a,n/a,10.42.0.78,pfwilsendh470c,BE,app=kube-prometheus-stack-operator app.kubernetes.io/instance=kube-prometheus-stack app.kubernetes.io/managed-by=Helm app.kubernetes.io/part-of=kube-prometheus-stack app.kubernetes.io/version=35.6.2 chart=kube-prometheus-stack-35.6.2 heritage=Helm pod-template-hash=7ffd69dd7b release=kube-prometheus-stack,,<none>,<none>,3d16h
monitoring,prometheus-prometheus-prometheus-0,●,2/2,10,Running,66,720,200:0,50:0,33,n/a,1440,n/a,10.42.0.85,pfwilsendh470c,BU,app.kubernetes.io/instance=prometheus-prometheus app.kubernetes.io/managed-by=prometheus-operator app.kubernetes.io/name=prometheus app.kubernetes.io/version=2.35.0 controller-revision-hash=prometheus-prometheus-prometheus-585fd49974 operator.prometheus.io/name=prometheus-prometheus operator.prometheus.io/shard=0 prometheus=prometheus-prometheus statefulset.kubernetes.io/pod-name=prometheus-prometheus-prometheus-0,,<none>,<none>,3d16h
